Kategori,total_revenue,foto_qty,unlock_qty,print_qty
Hotel,10805000.0,1607,318,344
Komunitas,38990000.0,4572,1066,1110
Lainnya,138700000.0,17210,3735,3982
Mall,61640000.0,6983,1687,1752
Restoran,36950000.0,3512,994,1086
Wisata,112515000.0,17510,3195,3375
