Area,total_revenue,foto_qty,unlock_qty,print_qty
Bali,77230000.0,9949,2144,2310
Jakarta,104380000.0,16579,2732,2876
Lainnya,163805000.0,20057,4622,4872
Samarinda,35745000.0,3752,970,1015
Yogyakarta,18440000.0,1057,527,576
