outlet_name,area,kategori_tempat,sub_kategori_tempat,tipe_tempat,periode,foto_qty,unlock_qty,print_qty,total_revenue,conversion_rate,unlock_to_print_rate,avg_revenue_per_transaction,avg_revenue_per_print,outlet_status,revenue_rank
Aeon Deltamas - Entrance,Lainnya,Lainnya,Tidak Terkategorisasi,Indoor,2025-06,772,106,109,2683625.0,14.12,102.83,1877.0,24620.0,Relocate,29
Aloha - PIK 2,Jakarta,Lainnya,Tidak Terkategorisasi,Indoor,2025-06,1526,438,471,19761628.0,30.87,107.53,5061.0,41957.0,Optimasi,2
Ancol LB,Jakarta,Wisata,Taman/Wisata Alam,Outdoor,2025-06,1487,232,241,8120754.0,16.21,103.88,2719.0,33696.0,Relocate,16
Ancol LB 2,Jakarta,Wisata,Taman/Wisata Alam,Outdoor,2025-06,1254,178,194,6274553.0,15.47,108.99,2425.0,32343.0,Relocate,21
Batavia PIK,Jakarta,Lainnya,Tidak Terkategorisasi,Indoor,2025-06,1445,211,217,9249111.0,15.02,102.84,4483.0,42623.0,Relocate,12
Beachwalk Mall Kuta - Gate,Bali,Mall,Shopping Center,Indoor,2025-06,1525,288,314,12634982.0,20.59,109.03,4823.0,40239.0,Optimasi,5
Buy Local Creative Zone by JXB,Lainnya,Komunitas,Creative Space,Indoor,2025-06,584,68,68,2310883.0,11.64,100.0,2286.0,33984.0,Relocate,32
Discovery Mall Icon,Lainnya,Mall,Shopping Center,Indoor,2025-06,841,174,173,5674277.0,20.57,99.43,3426.0,32799.0,Relocate,23
Flavor Bliss & Broadway Alam Sutera,Lainnya,Wisata,Taman/Wisata Alam,Outdoor,2025-06,887,170,191,6081089.0,21.53,112.35,4378.0,31838.0,Relocate,22
Florawisata D'Castello,Lainnya,Lainnya,Tidak Terkategorisasi,Indoor,2025-06,327,47,49,1448549.0,14.98,104.26,2379.0,29562.0,Relocate,33
HeHa Sky View - Love Lock,Lainnya,Lainnya,Tidak Terkategorisasi,Indoor,2025-06,942,206,227,6498161.0,24.1,110.19,3701.0,28626.0,Relocate,19
HeHa Sky View - Sky Lolli,Lainnya,Lainnya,Tidak Terkategorisasi,Indoor,2025-06,210,21,26,710386.0,12.38,123.81,2102.0,27323.0,Relocate,35
HeHa Waterfall,Lainnya,Lainnya,Tidak Terkategorisasi,Indoor,2025-06,654,110,120,3977319.0,18.35,109.09,3062.0,33144.0,Relocate,27
Hoolu Burger,Lainnya,Lainnya,Tidak Terkategorisasi,Indoor,2025-06,389,143,167,5371096.0,42.93,116.78,6049.0,32162.0,Relocate,24
